0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,k,0,0,0,0
0,0,0,0,0,0,0,y,y,y,y,y,y,k,k,k,k,k,0,0
0,0,0,0,0,0,0,y,0,0,0,0,y,k,k,0,0,0,0,0
0,0,0,0,0,0,0,0,y,y,y,y,y,0,0,0,0,0,0,0
0,0,0,0,0,0,0,y,y,y,0,0,y,0,0,0,0,0,0,0
0,0,0,0,0,0,0,p,y,0,0,0,g,0,0,0,0,0,0,0
0,0,0,0,0,0,p,p,p,g,g,g,g,0,0,b,b,b,0,0
0,0,0,0,p,p,p,p,p,p,0,0,g,0,0,0,b,0,0,0
0,0,p,p,p,0,0,p,0,p,g,g,g,b,b,b,b,0,0,0
0,p,p,0,0,0,0,p,p,p,0,0,g,0,0,b,0,0,0,0
0,0,0,0,0,0,p,p,0,p,g,g,g,0,0,b,0,0,0,0
0,0,0,0,0,p,p,0,r,r,r,r,r,0,0,y,0,0,0,0
0,0,0,0,0,p,0,0,r,r,r,r,r,y,y,y,0,0,0,0
0,0,0,0,0,0,0,0,r,0,r,0,r,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,r,0,0,0,r,0,0,0,0,0,0,0
0,0,0,0,0,0,0,r,r,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,r,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
